Full Track Name,Short Code,Country Code
Algarve International Circuit,ALG,PT
Autodromo Internazionale del Mugello,MUG,IT
Autodromo Internazionale Enzo e Dino Ferrari,IMO,IT
Autódromo José Carlos Pace,INT,BR
Autodromo Nazionale Monza,MON,IT
Brands Hatch Circuit,BRA,GB
Circuit de Barcelona Catalunya,CAT,ES
Circuit de Nevers Magny-Cours,MAN,FR
Circuit de Spa-Francorchamps,SPA,BE
Circuit des 24 Heures du Mans,LEM,FR
Circuit Gilles Villeneuve,GIL,CA
Circuit of the Americas,CTA,US
Circuit Park Zandvoort,ZAN,NL
Circuit Zolder,ZOL,BE
Circuito de Jerez - Ángel Nieto,JER,ES
Donington Park Racing Circuit,DON,GB
Fuji International Speedway,FUJ,JP
Hockenheimring Baden-Württemberg,HOC,DE
Hungaroring,HUN,HU
Mount Panorama Circuit,BAT,AU
Nürburgring Grand-Prix-Strecke,NUR,DE
A1 Ring,A1R,AT
Road America,RAM,US
Road Atlanta,RAT,US
Sebring International Raceway,SEB,US
Silverstone Circuit,SIL,GB
Suzuka International Racing Course,SUZ,JP
Thruxton Circuit,THR,GB
WeatherTech Raceway at Laguna Seca,LAG,US
