Full Track Name,Short Code,Country Code
Autodromo Enzo e Dino Ferrari,IMO,IT
Autódromo Internacional do Algarve,ALG,PT
Autodromo Nazionale Monza,MON,IT
BRNO Circuit,BRN,CZ
Circuit de Barcelona,CAT,ES
Circuit de la Sarthe,LEM,FR
Circuit de Spa-Francorchamps,SPA,BE 
Circuit of the Americas,CTA,US
Circuit Zolder,ZOL,BE
Fuji Speedway,FUJ,JP
Hockenheimring,HOC,DE
Mount Panorama Circuit,BAT,AU
Mugello Circuit,MUG,IT
Nürburgring,NUR,DE
A1 Ring,A1R,AT
Silverstone,SIL,GB
Laguna Seca,LAG,US
Suzuka Circuit,SUZ,JP
